_id	parent_id	title	title_kana	subtitle	subtitle_kana	isbn	author	author_kana	publisher	size	series	series_kana	sales_date	price	url	aff_url	bdate	sd_conv	inmode	c_dtm	memo
6	2	この美術部には問題がある！（2）	コノ ビジュツブ ニワ モンダイ ガ アル			9784048661003	いみぎむる	イミギ,ムル	KADOKAWA	コミック	電撃コミックスNEXT	デンゲキ コミックス ネクスト	2013年11月27日	615	http://books.rakuten.co.jp/rb/12504683/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12504683%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12504683%26surl%3Dbook				2016/10/18 08:46:19	
7	2	この美術部には問題がある！（3）	コノ ビジュツブ ニワ モンダイ ガ アル			9784048666664	いみぎむる	イミギ,ムル	KADOKAWA	コミック	電撃コミックスNEXT	デンゲキ コミックス ネクスト	2014年06月27日	615	http://books.rakuten.co.jp/rb/12765314/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12765314%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12765314%26surl%3Dbook				2016/10/18 08:46:25	
8	131	論理回路の基礎改訂版	ロンリ カイロ ノ キソ			9784769202042	田丸啓吉	タマル,ケイキチ	工学図書	単行本			1989年01月01日	2484	http://books.rakuten.co.jp/rb/338635/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F338635%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D338635%26surl%3Dbook			教科書	2017/03/09 21:53:59	
9	131	明解Java（入門編）	メイカイ ジャバ			9784797339536	柴田望洋	シバタ,ボウヨウ	SBクリエイティブ	単行本			2007年08月	2808	http://books.rakuten.co.jp/rb/4489150/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4489150%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D4489150%26surl%3Dbook			教科書	2017/03/09 21:54:11	
10	5	空想科学読本（1）新装版	クウソウ カガク ドクホン			9784040670225	柳田理科雄	ヤナギタ,リカオ	KADOKAWA	単行本			2006年07月	1296	http://books.rakuten.co.jp/rb/12886284/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12886284%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12886284%26surl%3Dbook				2016/10/19 23:18:23	
11	5	空想科学読本（2）新装版	クウソウ カガク ドクホン			9784840136952	柳田理科雄	ヤナギタ,リカオ	メディアファクトリー	文庫	空想科学文庫	クウソウ カガク ブンコ	2011年01月	565	http://books.rakuten.co.jp/rb/6963959/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6963959%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D6963959%26surl%3Dbook				2016/10/19 23:18:49	
12	5	空想科学読本（3）	クウソウ カガク ドクホン			9784840120319	柳田理科雄	ヤナギタ,リカオ	メディアファクトリー	文庫	空想科学文庫	クウソウ カガク ブンコ	2007年08月	565	http://books.rakuten.co.jp/rb/4499773/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4499773%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D4499773%26surl%3Dbook				2016/10/19 23:18:56	
13	5	空想科学読本（6．5）	クウソウ カガク ドクホン			9784840123877	柳田理科雄	ヤナギタ,リカオ	メディアファクトリー	単行本			2008年07月	864	http://books.rakuten.co.jp/rb/5799461/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5799461%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D5799461%26surl%3Dbook				2016/10/19 23:19:03	
14	5	空想科学読本（12（「科学で解けない超難問」）	クウソウ カガク ドクホン			9784840149013	柳田理科雄	ヤナギタ,リカオ	メディアファクトリー	単行本			2012年11月	1296	http://books.rakuten.co.jp/rb/12070993/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12070993%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12070993%26surl%3Dbook				2016/10/19 23:19:15	
15	5	空想科学読本（11）	クウソウ カガク ドクホン			9784840145183	柳田理科雄	ヤナギタ,リカオ	メディアファクトリー	単行本			2012年03月	1296	http://books.rakuten.co.jp/rb/11603129/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11603129%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D11603129%26surl%3Dbook				2016/10/19 23:19:20	
